	TCGA-A6-2671-01A	TCGA-A6-2675-01A	TCGA-A6-2678-01A	TCGA-A6-2679-01A	TCGA-A6-2680-01A	TCGA-A6-2671-11A	TCGA-A6-2675-11A	TCGA-A6-2678-11A	TCGA-A6-2679-11A	TCGA-A6-2680-11A
A1CF	0.10457243368058698	1.87932290440613	2.2630452817057796	0.591325237811403	1.74808107663027	2.80635749530648	1.9430045514949599	3.28655197990521	2.62129181044376	3.7306462507965805
A2M	5.24526873717779	6.391483656554559	5.34948398407524	3.75702476321548	5.53161336343423	6.5955460557152	7.227085793088349	7.36841536004173	6.973611934549731	6.05051045781506
A4GALT	1.95088428935772	2.65895563877436	1.1061004851646101	2.53163744132697	2.1340353520003603	2.5775672873993702	3.4970075409601598	2.43490974620663	2.2751489791831	2.3881455803789504
AAAS	3.76627432153223	3.3915597726135296	3.56347102150447	4.02914132409383	3.84722356078334	3.1192631963129003	3.01472403752064	3.23771468108447	3.3116416311336	2.9054785691411205
AACS	2.17557363861198	1.86731225985645	1.9538931088833702	2.75121679769129	2.67788525760039	2.12032806229771	2.458516288308	1.99964811074232	2.25444672450651	1.84158122252393
AADACP1	0.501267353714594	0.8573135410891509	0.9279685282516321	0.0	0.548662183611054	0.733389856585093	0.8884800470854058	0.758159740272393	0.535024154021425	3.3398054137496
AADAT	1.83780674718944	1.90881244177033	2.15325225990957	1.51864117580271	1.6028756447903703	1.00791819831872	1.36095368364012	1.06398408954998	1.04046847523732	0.723263145827263
AAED1	2.17746064015254	1.69639431935606	1.7175382959321601	0.792800890378477	1.3355948195971399	1.59915355026106	2.08238499092618	1.79935049773098	1.52908398198517	1.6680761269613502
AAGAB	3.68987534069975	3.27800511038561	4.400097338187599	2.51462384313775	4.31716747106499	3.98536561761339	4.1636960970214	3.7492282566231903	4.02487532043632	3.8992959944671695
AAK1	1.42322985444002	1.8116024456653799	1.3781998299554898	0.49790632828796705	0.9482777761202191	1.51729379926365	2.06049473683831	1.48541411057248	1.45198813555357	1.19669487768185
AAMDC	3.47377899132994	2.95839865642722	2.9712822412346203	4.0181475750038995	2.58423282950185	3.40396053371262	3.20365662168509	3.28961448375577	3.0396852245374797	3.5877863510243397
AAMP	6.1849865161950195	5.44206478411217	5.2326522784675005	6.487102182066151	6.07260006751613	5.79121728544542	5.408089404866019	5.61119260147192	5.81519230738032	5.649058928379589
AAR2	4.62121977406011	4.43343048354429	3.94047897208472	4.59343274016824	4.1029748590621	4.0831168040736605	4.2296708709169	3.8912080360257404	3.8472635636109	4.08064474720829
AARS	5.07065054653217	4.9929804929603705	5.526599842128871	5.30710019214336	5.80528012763651	4.65329908094995	4.85743241203441	4.29084477570116	4.72819510183556	4.31965285599006
AARS2	2.6502193664646603	2.37435908995133	2.38109673118608	3.38680547385208	2.54540720749892	2.29325849035809	2.41998304079693	2.8287253432634003	2.6659788140662	2.7828242615393
AARSD1	0.839847361260766	1.1044390092294598	0.8665609070743849	0.807821435288655	0.9778315766285289	0.6826023907555461	0.712400314779996	0.7490162440263499	0.7210278048290799	0.607728059007394
AASDH	1.09410071725577	1.50636076508768	1.88830342554115	0.377043951835448	1.13142149531413	1.29203998183934	1.42972870221738	1.6338151921145	1.5838865056792097	1.55596545794884
AASDHPPT	1.6157768895578501	2.7514885890212204	2.83709247800463	1.4554061930833302	1.8491225833140301	1.9851295235718	2.23599122349779	2.20586261245427	1.9820189960706	2.0084743968491
AASS	0.41255642098712103	0.648072791162112	0.36020679997521793	0.0	0.7282724771608371	0.42315294061794495	1.0384425930098	0.807242712187141	0.66927799492226	0.8614352953488159
AATBC	0.506864169192139	0.5663111428958629	0.42704114139287397	0.0	0.773563077828698	0.20241450747540102	0.25727070011742104	0.23241204308093202	0.28330189361698105	0.0541947496028775
AATF	4.381560397292	4.30980544180753	3.25519346092288	3.86436669381699	4.2565182605873595	3.69311915719729	3.6317312438001603	3.53012548925367	3.5493775414833797	3.78159576263412
AATK	1.75981081143935	0.739118594596184	0.6780481682156071	2.39797541012261	2.41609274123284	1.4200198338460701	1.21613122499635	0.886823144875167	0.8759979735747041	3.4729377924860696
AB019441.29	2.7170083799328197	2.16116387585125	2.15148533160317	3.3427046193106698	2.73479132226271	2.47514190326378	1.94919659031783	2.11358538163607	2.11710087166766	1.85542400906954
ABALON	1.02731986150822	1.2130799990988101	0.926209912735095	1.00314890532872	0.6832175095530411	0.242128699557117	0.28010259293232204	0.230935684000757	0.286851260095432	0.4568687122802821
ABAT	2.33223225211156	1.90391454505063	1.3998154556467102	1.5400447073291599	2.84919984487704	2.02122641173348	1.7401750877496698	2.37912579085013	2.3662272698674705	3.55944942667137
ABCA1	1.25454009470398	2.41272943070961	1.7959671091975502	0.20550387943590998	1.13695342949305	2.2291391312679396	2.70876687391568	2.8929401671983	2.2556708135215295	1.43280591752626
ABCA10	0.0386095366826868	0.16851278468270403	0.171690148454994	0.0	0.0596287853454925	0.246326013831772	0.29443914569284496	0.581568932059354	0.323827558846767	1.0183107986698001
ABCA11P	0.0950360254268464	0.393823827076938	0.21369643162376398	0.522002513115579	0.270915593955255	0.280551344109786	0.48490630201572205	0.342522452178282	0.231101376835397	0.31120140625167303
ABCA13	0.12121164129700901	0.0301158292495059	0.0830856648623814	0.0130828384228264	0.0199805875664287	0.0417658005803176	0.0325296214979793	0.0440343444973534	0.0296884157949068	0.0362319823517057
ABCA2	3.88787636032479	2.21296301803434	2.37658152616317	3.37663870929493	3.31780972984797	3.15264241837504	3.00476903363612	3.02442805517367	2.71384381799694	2.50664810909335
ABCA3	0.980932804485185	1.29614615567408	0.29667854256212606	1.13901739267104	0.573915604279144	1.51932853917272	2.3495302241251497	1.45302147561113	1.2288742811448998	1.4213198873656
