Gene	TCGA-A6-2682-01A	TCGA-A6-2683-01A	TCGA-A6-2685-01A	TCGA-A6-2686-01A	TCGA-A6-5662-01A	TCGA-A6-5667-11A	TCGA-AA-3489-11A	TCGA-AA-3496-11A	TCGA-AA-3511-11A	TCGA-AA-3514-11A
5S_rRNA	0	0	0	0	0	0	0	0	0	0
5_8S_rRNA	0	0	0	1	0	0	0	0	0	0
7SK	0	0	0	0	0	0	0	0	0	0
A1BG	0	1	1	9	3	9	3	3	9	7
A1BG-AS1	0	9	16	42	13	38	42	31	43	30
A1CF	211	113	239	688	1592	3025	819	1194	2959	3319
A2M	1676	1594	15867	13589	9684	22198	21781	33342	24265	25750
A2M-AS1	6	3	18	18	57	32	145	120	42	20
A2ML1	0	4	0	40	10	2	3	2	1	1
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	4	5	1	7	6	7	6	8
A3GALT2	0	0	0	0	0	0	0	0	2	1
A4GALT	152	42	481	1063	158	435	771	710	603	291
A4GNT	0	0	2	0	0	0	0	0	2	0
AA06	0	0	0	0	0	0	0	0	0	0
AAAS	681	991	890	1882	2984	1790	1203	981	1850	1920
AACS	869	2471	996	2617	1488	2488	1857	964	2921	2177
AACSP1	0	0	0	0	0	0	1	0	0	1
AADAC	36	0	587	192	90	0	2	4	5	5
AADACL2	0	0	4	0	2	8	24	34	3	10
AADACL2-AS1	1	0	7	1	4	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	1	1	0	0	0
AADACP1	41	2	212	285	335	52	48	55	97	121
AADAT	92	57	68	100	322	128	254	130	209	201
AAED1	79	35	178	583	266	276	473	283	207	220
AAGAB	687	438	1118	3611	452	2715	3141	1381	3221	3809
AAK1	864	178	810	999	1260	2340	558	824	2077	2296
AAMDC	325	210	496	827	812	691	737	538	533	577
AAMP	2140	4039	4279	5889	8349	6909	6365	3994	7304	9319
AANAT	2	0	7	23	12	5	0	1	12	4
AAR2	590	769	1333	2343	6040	1958	1872	1511	2042	1813
AARD	0	0	5	4	5	18	157	108	22	7
AARS	1611	5954	3839	8199	8750	3490	4020	3924	5540	6084
AARS2	168	736	374	751	921	1071	459	435	1104	1065
AARSD1	43	64	50	467	174	176	110	66	146	113
AARSP1	0	0	0	0	0	0	0	0	0	0
AASDH	134	48	186	842	456	475	358	278	514	476
AASDHPPT	271	136	391	1571	2344	911	1063	799	1175	933
AASS	27	17	56	203	107	186	125	114	170	110
AATBC	11	33	12	39	23	17	29	18	43	25
AATF	974	1027	1383	3098	3840	2209	1312	1312	2637	2423
AATK	70	25	156	626	881	1347	230	373	629	87
AATK-AS1	0	0	0	0	0	1	0	0	0	0
AB015752.3	0	0	0	4	0	0	0	0	0	0
AB019438.66	0	0	0	0	0	1	0	0	0	0
AB019440.50	0	0	0	0	0	0	0	0	0	0
AB019441.29	23	39	50	365	119	80	184	63	115	84
ABALON	20	11	74	54	151	17	22	14	15	15
ABAT	265	320	493	204	6602	2094	417	962	1793	3022
ABBA01017803.1	0	0	4	4	5	6	2	2	6	7
ABC12-47043100G14.2	0	0	0	0	0	0	0	0	0	0
ABC12-47964100C23.1	0	0	0	0	0	0	1	0	0	0
ABC12-49244600F4.4	0	0	0	0	0	0	0	0	0	0
ABC14-1080714F14.1	0	0	0	1	0	1	0	0	1	0
ABC7-42391500H16.2	0	0	0	0	0	0	0	0	0	0
