Gene	Length
RP11-368I23.2	710
RP11-742D12.2	5117
RAB4B	3937
AP000892.6	5326
C12orf5	3023
RNF44	5660
NUP210P2	282
DNAH3	14960
RP11-301G23.1	1201
RPL23A	2824
RPL7L1P12	729
Y_RNA	102
ARL8B	3576
RP11-597A11.11	636
CALB2	1703
MFSD3	1823
LINC00636	1264
PIGV	3382
RP11-578F21.13	259
PIGFP2	651
CHIAP1	995
RP5-1071N3.1	2479
snoU2-30	70
ZNF708	4956
LINC01224	3296
RP11-434D2.10	356
RP11-15J22.8	455
TTC30A	5975
DNM3-IT1	396
RNA5SP75	111
SLC38A3	3968
AC108868.6	511
BEND3P3	2440
PFN2	3440
RPL36AP6	321
RP13-554M15.2	1355
RP11-276H7.2	904
DNM1P41	3350
RNU6-264P	104
RMND5A	6804
AC012363.4	575
AC092301.3	764
PCAT1	2315
RAD23A	2449
RORB	9591
U1	165
AC104076.2	469
OR2D2	1110
SERPINB11	3696
RP1-278O22.2	729
RP11-725G5.2	1701
RP11-121L11.3	574
LINC00705	1745
RPL7P17	724
TLL2	8151
CTC-360J11.7	908
TRABD2B	7034
CTSA	5856
HCG4P5	993
RP11-366N18.2	330
MIR5004	107
CTD-2014E2.6	568
RP11-927P21.2	560
ASS1P7	1226
PTPN4	12486
NUCB2	8995
RP11-334C17.6	172
RNU6-428P	107
RP11-709D24.5	1662
RP11-369E15.3	417
GGT3P	2744
TMEM143	3701
DACH1	5389
RP11-19N8.3	163
Metazoa_SRP	282
COLCA1	8733
RN7SL560P	264
GAPVD1	13625
RNU6-820P	107
RP11-1007J8.1	420
FGF23	3018
RP11-638L3.4	2484
SERTAD2	6274
GLI4	3057
ST3GAL6	6288
RP11-861E21.1	168
AC010739.1	107
BX649553.3	74
PKP2	7043
RP11-809N15.2	254
RNU6-453P	85
TRIM51HP	1878
CTB-13F3.1	625
AP005242.1	308
KRT1	2488
CTD-2591A1.1	2431
AC026185.1	174
RP11-114O18.1	476
RNU6-1273P	104
RNA5SP218	109
RP5-1025A1.3	630
RAET1K	1896
AP002495.1	65
AL360178.1	93
AC007682.3	111
CTD-3099C6.5	880
RP11-203L2.3	1248
LPP-AS1	494
RP11-539L10.2	1821
SLC45A4	8608
AP006222.1	457
RP11-789C7.1	664
RP11-645N11.3	333
MTRF1	3841
RP11-63P12.7	361
RP11-212F11.1	575
uc_338	160
MTND5P14	1267
IGSF11-AS1	1604
U8	136
AC055736.4	129
RP11-265E18.1	668
AC009133.15	547
RARRES2P7	469
PTGES2	3039
MTND2P28	1044
FMO7P	768
ESM1	2695
RP11-76I23.7	553
AC006458.3	653
AC108667.1	70
RWDD2A	3744
LINC00592	1044
ENTPD1-AS1	12528
LINC01181	556
AC096670.3	3432
RP11-569A11.2	365
PPIAP6	499
RP4-738P11.3	618
RP11-760D2.1	673
PRR23A	801
GFOD1-AS1	332
RP11-74E22.6	303
TMEM155	3024
RP11-536L3.4	784
TOMM40	3610
RP5-1153D9.5	1248
PRSS48	989
RP11-544M22.3	173
ADTRP	4150
NDUFAF2	1017
SEPSECS	6232
NLRP6	3207
RP3-522J7.7	1757
DCDC2C	1780
CWC27	3740
RP11-77K12.7	2125
CTD-2517M22.16	429
RP11-430C7.4	683
CTD-2616J11.14	559
FKBP4P6	1332
IGKV1D-16	378
RP11-416A17.6	754
RP11-411B10.8	811
CAMKMT	3991
CTD-2004A9.1	335
RP11-1046B16.3	527
LHX5	3125
MYOM2	7062
AC079325.6	501
CTD-2528L19.4	785
MTND6P7	524
EVX1	3353
GLYATL1P1	1607
MAP9	8857
A1BG-AS1	2793
AC020550.7	163
APIP	5337
AC010295.1	76
RP11-430H12.2	1797
MAF1	2377
FOXP1	13628
RP11-609L23.1	1212
PLCE1	13329
PRAMEF4	1828
RAD17	4159
RP11-550F7.1	1411
RN7SKP154	290
AC005086.2	219
RP4-740C4.7	568
AL022314.1	60
CICP17	2377
snoZ278	112
SPCS2	2982
DGCR11	2214
SETDB2	6678
DESI2	5104
PAX3	4633
COX17	2172
PSORS1C3	593
KRT128P	663
RP11-588F10.1	1042
RP11-771F20.1	749
SERPINE3	2608
HAO1	1777
CTD-2342N23.3	1003
RP11-166A12.1	2377
RP11-169F17.1	6856
CTD-2561B21.3	549
PKMYT1	5034
HSPA8P15	786
CCDC30	13504
AGBL4-IT1	514
EIF3LP3	822
AP001626.2	2854
FAM89B	1458
IGLJ6	70
RP11-740P5.3	429
CTD-2266L18.1	318
RP11-739P1.2	622
MED8	2704
RP11-216N14.5	2040
RP11-230C9.1	388
ZNF781	3617
RP11-759A9.2	671
RNU6-1329P	107
AC103563.9	597
FAM69A	3091
CTC-425K20.1	483
ANKMY1	11477
MTATP6P9	680
VSTM2A	5967
SERTAD1	2114
GUCY1A3	5766
ANKRD32	7185
RP11-440D17.4	501
PRKG2	5116
MESTP3	968
FBXO45	5976
RP11-8J23.1	404
RP11-339A11.3	263
AC002383.2	671
AMZ2	4214
RP11-177C12.4	710
RP11-605F22.2	831
RP13-582L3.4	562
TMEM52	1594
RPS2P24	870
RP11-310P5.2	442
CHN2	10660
RN7SL430P	242
RP11-132A1.3	756
RP11-474P2.7	2523
RP11-381K7.1	427
RP11-325E14.5	778
OR2AS2P	321
GCNT4	5554
AC012506.2	892
AC024896.1	52
SNORA43	103
RN7SL541P	283
MIR8081	95
RP1-161C16.1	367
AC011357.1	70
IP6K3	2822
RP5-916O11.3	1667
MTF2	5909
RP11-885B4.1	220
NOBOX	2076
RBM15B	6641
PIH1D2	2474
RP11-73G16.1	2997
KRT18P61	1298
RP11-95H3.1	890
RP11-526D8.7	4835
PCGF7P	1051
LA16c-431H6.7	2182
CTB-179I1.1	715
VN1R53P	957
OR52E1	926
RP11-323N12.5	367
MT1A	418
RP5-940J5.8	560
HIST2H3PS2	412
RP6-91H8.1	721
RNU6-391P	104
RP11-554A11.9	778
CMPK2	4302
ATP2A1	4587
FAM174A	1416
DPY19L1P2	915
AL049564.1	146
CMC1	10536
